Origin,Destination,All,Night,Day,Evening
1,1,116,1,109,13
1,2,54,2,38,0
1,3,4,1,4,0
1,4,13,0,11,2
1,5,15,0,13,0
1,6,13,1,9,0
1,7,5,0,4,0
1,8,11,0,9,0
1,9,6,0,6,0
1,10,3,0,2,0
1,11,8,0,8,1
1,12,3,0,2,0
1,13,9,0,8,0
1,14,3,0,3,0
1,15,3,0,2,0
1,16,8,0,7,0
1,17,0,0,0,1
1,18,2,0,1,0
1,19,3,0,2,0
1,20,4,1,3,0
1,21,2,0,2,0
1,22,20,1,17,0
1,23,5,0,4,0
1,24,6,0,4,0
1,25,56,0,48,0
1,26,6,0,6,0
1,27,8,0,7,0
1,28,6,0,4,1
1,29,2,0,2,0
1,30,18,0,15,2
1,31,14,0,13,0
1,32,5,0,4,0
1,33,26,2,21,0
1,34,5,0,4,0
1,35,58,1,48,0
1,36,15,0,8,0
1,37,29,3,22,0
1,38,5,0,4,0
1,39,9,0,6,0
1,40,9,0,7,0
1,41,4,0,2,0
1,42,35,0,28,1
1,43,1,0,1,0
1,44,22,2,11,0
1,45,45,0,36,1
1,46,25,0,14,1
1,47,62,1,47,2
1,48,24,0,22,0
1,49,35,2,35,3
1,50,16,0,12,0
1,51,47,1,41,1
1,52,5,0,4,0
1,53,25,1,21,0
1,54,2,0,2,0
1,55,1,0,1,0
1,56,1,0,1,0
1,57,32,0,28,1
1,58,4,0,4,0
1,59,3,0,3,0
1,60,2,0,1,0
1,61,1,0,1,0
1,62,3,0,3,0
1,63,1,0,1,0
1,64,0,0,0,0
1,65,3,0,3,0
1,66,2,0,0,0
1,67,1,0,0,0
1,68,3,0,2,0
1,69,4,0,1,0
1,70,2,0,2,0
1,71,0,0,0,0
1,72,2,0,2,0
1,73,2,0,2,0
1,74,2,0,1,0
1,75,6,0,4,0
1,76,5,0,4,0
1,77,3,0,2,0
1,78,32,2,23,1
1,79,0,0,0,0
1,80,2,0,2,0
1,81,7,0,8,0
1,82,5,0,2,0
1,83,1,0,1,0
1,84,0,0,0,0
1,85,0,0,0,0
1,86,0,0,0,0
1,87,1,0,1,1
1,88,4,0,4,0
1,89,3,0,3,0
1,90,4,0,3,0
1,91,2,0,2,0
1,92,10,1,7,0
1,93,5,0,3,0
1,94,40,0,32,0
1,95,11,1,9,0
1,96,29,1,21,0
1,97,9,0,7,0
1,98,6,0,5,0
1,99,8,0,5,1
1,100,4,0,3,0
1,101,7,0,6,0
1,102,5,0,3,0
1,103,2,0,1,0
1,104,1,0,1,0
1,105,8,0,7,0
1,106,6,0,6,0
1,107,0,0,0,0
1,108,3,0,2,0
1,109,1,0,1,0
1,110,4,0,4,0
1,111,6,0,6,0
1,112,0,0,0,0
1,113,0,0,0,0
1,114,1,0,0,0
1,115,2,0,2,0
1,116,0,0,0,0
1,117,20,3,16,0
1,118,1,0,1,0
1,119,5,0,5,0
1,120,0,0,0,0
1,121,1,0,1,0
1,122,4,0,4,0
1,123,2,0,2,0
1,124,4,0,4,0
1,125,4,0,4,0
1,126,0,0,0,0
1,127,0,0,0,0
1,128,12,2,8,0
1,129,1,0,0,0
1,130,1,0,1,0
1,131,7,1,5,1
1,132,12,0,7,0
1,133,7,0,2,0
1,134,1,0,1,0
1,135,3,0,2,0
1,136,7,0,5,0
1,137,6,0,3,0
1,138,8,0,6,0
1,139,4,0,4,0
1,140,4,0,3,0
1,141,5,0,4,0
1,142,0,0,0,0
1,143,2,0,1,0
1,144,1,0,1,0
1,145,1,0,1,0
1,146,3,0,3,0
1,147,3,0,4,0
1,148,16,1,11,1
1,149,5,0,4,0
1,150,2,0,2,0
1,151,1,0,1,0
1,152,0,0,0,0
1,153,4,0,4,0
1,154,1,0,1,0
1,155,0,0,0,0
1,156,1,0,1,0
1,157,0,0,0,0
1,158,0,0,0,0
1,159,4,0,3,0
1,160,9,0,7,0
1,161,5,0,5,0
1,162,0,0,0,0
1,163,19,2,16,1
1,164,8,0,7,0
1,165,3,0,3,0
1,166,4,0,4,0
1,167,2,0,2,0
1,168,0,0,0,0
1,169,4,0,3,0
1,170,5,0,5,0
1,171,3,0,1,0
1,172,2,0,2,0
1,173,0,0,0,0
1,174,2,0,2,0
1,175,5,0,2,0
1,176,1,0,1,0
1,177,3,0,3,0
1,178,7,0,6,0
1,179,13,0,11,0
1,180,17,3,9,0
1,181,2,0,2,0
1,182,8,0,7,0
1,183,12,0,9,0
1,184,4,0,3,0
1,185,2,0,2,0
1,186,9,0,4,0
1,187,6,0,4,0
1,188,23,0,17,0
1,189,8,0,6,1
1,190,6,0,5,0
1,191,1,0,0,0
1,192,8,1,7,0
1,193,13,0,13,0
1,194,7,1,5,0
1,195,9,0,6,0
1,196,3,0,2,0
1,197,10,0,8,0
1,198,12,0,11,0
1,199,196,6,163,4
2,1,57,2,41,2
2,2,567,25,398,50
2,3,100,5,69,1
2,4,141,7,97,1
2,5,138,9,100,1
2,6,122,4,71,2
2,7,89,4,54,1
2,8,32,1,23,1
2,9,30,2,28,0
2,10,16,0,15,0
2,11,30,2,19,0
2,12,9,2,6,0
2,13,35,12,13,1
2,14,7,0,5,0
2,15,6,0,5,0
2,16,19,6,10,0
2,17,4,0,3,0
2,18,31,1,24,0
2,19,47,1,35,1
2,20,22,0,18,0
2,21,15,0,9,0
2,22,114,3,76,0
2,23,25,1,18,0
2,24,28,0,22,0
2,25,148,4,102,2
2,26,23,0,13,1
2,27,69,3,38,1
2,28,18,1,9,0
2,29,21,1,19,0
2,30,83,1,65,2
2,31,76,0,65,0
2,32,21,1,18,0
2,33,223,12,159,0
2,34,52,4,32,1
2,35,101,3,64,1
2,36,30,0,26,1
2,37,203,14,137,0
2,38,21,0,16,0
2,39,20,0,13,0
2,40,21,1,9,2
2,41,23,5,11,0
2,42,81,6,63,4
2,43,18,0,8,1
2,44,36,1,20,0
2,45,15,1,14,1
2,46,187,7,122,1
2,47,160,6,105,6
2,48,221,5,164,0
2,49,29,2,26,0
2,50,34,0,27,0
2,51,20,0,9,0
2,52,31,0,20,0
2,53,63,5,38,0
2,54,7,0,5,0
2,55,3,0,0,0
2,56,5,0,2,0
2,57,70,2,54,3
2,58,4,0,1,0
2,59,5,0,4,0
2,60,3,0,3,0
2,61,10,0,6,0
2,62,6,0,5,1
2,63,3,0,2,0
2,64,1,0,1,1
2,65,11,1,9,0
2,66,13,0,8,0
2,67,14,0,12,0
2,68,6,1,5,0
2,69,2,0,1,0
2,70,2,0,2,0
2,71,7,0,6,0
2,72,6,0,6,0
2,73,10,0,8,0
2,74,8,1,4,0
2,75,12,1,8,0
2,76,1,0,1,0
2,77,6,0,3,0
2,78,43,2,25,0
2,79,6,1,1,0
2,80,10,0,10,1
2,81,12,1,8,0
2,82,5,0,4,0
2,83,2,0,0,0
2,84,3,0,1,0
2,85,0,0,0,0
2,86,4,1,2,0
2,87,6,1,3,0
2,88,5,1,1,0
2,89,5,0,3,0
2,90,5,0,3,0
2,91,4,0,3,0
2,92,13,1,8,0
2,93,16,1,8,0
2,94,47,2,32,2
2,95,14,2,10,1
2,96,91,6,56,0
2,97,58,1,49,1
2,98,39,2,25,1
2,99,79,6,47,0
2,100,17,0,11,0
2,101,13,0,9,0
2,102,3,0,1,0
2,103,10,0,6,0
2,104,4,0,3,1
2,105,5,0,3,0
