Origin,Destination,All,Night,Day,Evening
1,1,119,1,109,23
1,2,54,1,38,16
1,3,4,0,4,0
1,4,13,0,11,3
1,5,15,0,14,2
1,6,13,1,9,3
1,7,5,0,4,1
1,8,12,0,9,2
1,9,6,0,6,0
1,10,3,0,2,1
1,11,8,0,8,0
1,12,3,0,2,1
1,13,9,0,8,1
1,14,3,0,2,1
1,15,3,0,2,1
1,16,8,0,7,1
1,17,0,0,0,0
1,18,3,0,1,1
1,19,3,0,2,1
1,20,4,1,3,0
1,21,2,0,2,0
1,22,0,0,0,0
1,23,5,0,4,1
1,24,3,0,2,1
1,25,4,0,3,1
1,26,6,0,5,1
1,27,8,0,7,1
1,28,6,0,4,2
1,29,2,0,2,0
1,30,18,0,16,3
1,31,14,0,13,1
1,32,5,0,6,1
1,33,26,2,21,5
1,34,4,0,4,0
1,35,58,1,47,9
1,36,15,0,8,7
1,37,29,3,23,4
1,38,5,0,4,1
1,39,9,0,5,3
1,40,10,0,7,2
1,41,4,0,3,2
1,42,35,0,28,7
1,43,1,0,1,0
1,44,22,2,11,9
1,45,43,0,36,9
1,46,25,0,14,11
1,47,62,1,46,15
1,48,25,0,21,3
1,49,34,2,34,4
1,50,14,0,12,4
1,51,47,1,41,6
1,52,6,0,4,1
1,53,25,1,21,3
1,54,2,0,2,0
1,55,1,0,1,0
1,56,1,0,1,0
1,57,7,0,6,1
1,58,4,0,4,0
1,59,3,0,3,0
1,60,2,0,1,1
1,61,1,0,1,0
1,62,3,0,3,0
1,63,1,0,1,0
1,64,0,0,0,0
1,65,3,0,3,0
1,66,2,0,0,2
1,67,1,0,0,1
1,68,3,0,2,1
1,69,4,0,2,2
1,70,2,0,2,0
1,71,0,0,0,0
1,72,2,0,2,0
1,73,2,0,2,0
1,74,2,0,1,1
1,75,6,0,4,2
1,76,5,0,4,1
1,77,3,0,2,1
1,78,32,2,23,7
1,79,0,0,0,0
1,80,2,0,2,0
1,81,8,0,8,0
1,82,4,0,2,4
1,83,1,0,1,0
1,84,0,0,0,0
1,85,0,0,0,0
1,86,0,0,0,0
1,87,1,0,1,0
1,88,4,0,4,0
1,89,3,0,2,0
1,90,4,0,3,1
1,91,2,0,2,0
1,92,10,1,7,2
1,93,5,0,3,2
1,94,40,0,32,8
1,95,11,0,9,1
1,96,27,0,23,7
1,97,8,0,7,3
1,98,6,0,6,1
1,99,9,0,5,3
1,100,4,0,3,1
1,101,7,0,6,1
1,102,5,0,3,2
1,103,2,0,1,1
1,104,1,0,1,0
1,105,8,0,7,1
1,106,6,0,6,0
1,107,0,0,0,0
1,108,3,0,2,1
1,109,1,0,1,0
1,110,4,0,4,0
1,111,6,0,6,0
1,112,0,0,0,0
1,113,0,0,0,0
1,114,1,0,0,1
1,115,2,0,2,0
1,116,0,0,0,0
1,117,0,0,0,0
1,118,1,0,1,0
1,119,5,0,5,0
1,120,0,0,0,0
1,121,1,0,1,0
1,122,4,0,4,0
1,123,2,0,2,0
1,124,4,0,4,0
1,125,4,0,4,0
1,126,0,0,0,0
1,127,0,0,0,0
1,128,6,0,5,1
1,129,1,0,0,1
1,130,1,0,1,0
1,131,6,1,5,1
1,132,12,0,7,5
1,133,7,0,2,5
1,134,1,0,1,0
1,135,4,0,2,2
1,136,7,0,5,2
1,137,7,0,3,3
1,138,8,0,6,2
1,139,4,0,4,0
1,140,4,0,3,1
1,141,5,0,3,1
1,142,0,0,0,0
1,143,2,0,1,1
1,144,1,0,1,0
1,145,1,0,1,0
1,146,3,0,3,0
1,147,3,0,3,0
1,148,0,0,0,0
1,149,5,0,4,1
1,150,2,0,2,0
1,151,1,0,1,0
1,152,0,0,0,0
1,153,4,0,4,0
1,154,1,0,1,0
1,155,0,0,0,0
1,156,1,0,1,0
1,157,0,0,0,0
1,158,0,0,0,0
1,159,4,0,3,1
1,160,6,0,6,0
1,161,1,0,1,0
1,162,0,0,0,0
1,163,2,0,1,1
1,164,7,0,7,0
1,165,3,0,3,0
1,166,4,0,3,0
1,167,2,0,2,0
1,168,0,0,0,0
1,169,4,0,3,1
1,170,5,0,5,0
1,171,3,0,1,2
1,172,2,0,2,0
1,173,0,0,0,0
1,174,2,0,2,0
1,175,5,0,2,3
1,176,0,0,1,0
1,177,3,0,3,0
1,178,7,0,6,1
1,179,12,0,10,2
1,180,17,3,8,5
1,181,2,0,2,0
1,182,8,0,9,0
1,183,12,0,9,3
1,184,4,0,3,1
1,185,2,0,2,0
1,186,9,0,4,6
1,187,6,0,4,2
1,188,23,0,19,6
1,189,7,0,5,2
1,190,6,0,5,1
1,191,1,0,0,1
1,192,8,1,7,0
1,193,14,0,13,1
1,194,7,1,4,2
1,195,8,0,6,3
1,196,3,0,2,1
1,197,10,0,8,2
1,198,12,0,10,1
1,199,194,5,162,29
1,External,162,10,135,18
2,1,53,2,41,19
2,2,574,17,392,191
2,3,101,3,69,27
