OID_,u,v,key,osmid,geom_Length,ZMax44mm,ZMean44mm,ZLength44mm,ZMax54mm,ZMean54mm,ZLength54mm,ZMax71mm,ZMean71mm,ZLength71mm,ZMax86mm,ZMean86mm,ZLength86mm,ZMax20mm,ZMean20mm,ZLength20mm,ZMax198mm,ZMean198mm,ZLength198mm
1,0,140,0,"[4217936, 179043482]",173.511178621397733,,,,,,,,,,,,,,,,,,
2,0,1,0,"[172347656, 81178546, 4298740, 27322644, 27322646, 78722622, 8135519]",652.494109505640949,,,,,,,,,,,,,,,,,,
3,140,143,0,"[27462760, 172081970, 4226191]",521.222850397931325,1.879369130790304,0.293457510846525,102.530507171297586,2.087658992469381,0.313457197256912,117.744866667601812,2.392963042914938,0.346444288976847,138.360956154482693,2.627709022224020,0.371931247512546,153.751735460073348,1.247203937232565,0.195132374564361,64.332104529704324,3.814774146735739,0.542544936304400,189.905234112007719
4,140,2470,0,"[738707659, 738707658, 338082683, 29753046]",362.944324158229904,,,,0.063653230667114,0.000000000000000,0.000000000000000,0.236215114593506,0.000000000000000,0.000000000000000,0.371607184410095,0.000000000000000,0.000000000000000,,,,0.673323781802353,0.358467213326085,9.753023146722768
5,140,134,0,"[8135496, 29971901]",92.989680366821361,,,,,,,,,,,,,,,,,,
6,140,0,0,"[26991650, 179043483, 29753037]",164.153086644550598,,,,,,,,,,,,,,,,,,
7,1,142,0,"[24787814, 22958099, 81178548, 264473404, 179043485]",155.656859561428803,0.013840198516846,0.009201520256631,19.426608859596882,0.013840198516846,0.009201520256631,19.426608859596882,0.013840198516846,0.009201520256631,19.426608859596882,0.013840198516846,0.009201520256631,19.426608859596882,0.013840198516846,0.009201520256631,19.426608859596882,0.013840198516846,0.009201520256631,19.426608859596882
8,1,0,0,"[172347656, 81178546, 27322644, 4298740, 27322646, 78722622, 8135519]",652.494109505640949,,,,,,,,,,,,,,,,,,
9,142,1,0,"[24787776, 8135520, 4217935, 81178547, 96701428, 264473405]",155.467935027293009,0.014519929885864,0.006455426740114,31.327512010608185,0.014519929885864,0.006455426740114,31.327512010608185,0.014519929885864,0.006455426740114,31.327512010608185,0.014519929885864,0.006455426740114,31.327512010608185,0.014519929885864,0.006455426740114,31.327512010608185,0.014519929885864,0.006455426740114,31.327512010608185
10,142,2,0,"[85564173, 85564174, 179043484, 179043486, 76736420, 103304620, 103304621, 55449400, 18467132, 4217917, 18467135, 76735936, 76735937, 24787912, 301517769, 18467152, 18467158, 76737121, 76737122, 76737123, 81178601, 81178602]",2072.449028519010426,0.181032928872218,0.054517078813683,87.508256151404268,0.181032928872218,0.054517078813683,87.508256151404268,0.181032928872218,0.051881889710637,93.175045879960166,0.181032928872218,0.052469735658962,93.175092128970576,0.076060056686401,0.025622740626955,59.997071829437829,0.181032928872218,0.052469735658962,93.175092128970576
11,2,19,0,"[29971577, 82518149, 76736421, 80242782, 35359129, 80242780, 41882141, 41882142]",614.385044744763377,0.091320914020911,0.044792109376261,57.851290668062497,0.091320914020911,0.044792109376261,57.851290668062497,0.091320914020911,0.044792109376261,57.851290668062497,0.091320914020911,0.044792109376261,57.851290668062497,0.091320914020911,0.044792109376261,57.851290668062497,0.091320914020911,0.044792109376261,57.851290668062497
12,2,180,0,"[97678599, 97678600, 97678601, 97678602, 26698153, 96560046, 96560047, 96560048, 96560049, 96560050, 96560051, 96560052, 96560054, 98882773, 98882774, 28545635, 217557859, 217557860, 309731071]",966.451502690061261,0.046452885742744,0.017400623671557,73.882232720433819,0.046452885742744,0.017400623671557,73.882232720433819,0.046452885742744,0.016072741213933,81.796494412810432,0.046452885742744,0.016072741213933,81.796494412810432,0.039925813674927,0.008724683156371,65.908821998197098,0.046452885742744,0.016072741213933,81.796494412810432
13,2,142,0,"[85564173, 85564174, 179043484, 179043486, 76736420, 103304620, 103304621, 55449400, 18467132, 4217917, 18467135, 76735936, 76735937, 24787912, 301517769, 18467152, 18467158, 76737121, 76737122, 76737123, 81178601, 81178602]",2072.449028519011790,0.181032928872218,0.054517078813642,87.508256151404240,0.181032928872218,0.054517078813642,87.508256151404240,0.181032928872218,0.051881889710599,93.175045879960138,0.181032928872218,0.052469735658923,93.175092128970562,0.076060056686401,0.025622740626895,59.997071829437836,0.181032928872218,0.052469735658923,93.175092128970562
14,19,25,0,"[4470779, 130639532, 97695373, 130639533, 362993456, 30263412, 245619643]",788.603856991911016,0.124201441509111,0.037468254440114,77.854167510773877,0.124201441509111,0.033676669523524,89.239284902749716,0.124201441509111,0.033676669523524,89.239284902749716,0.124201441509111,0.033676669523524,89.239284902749716,0.124201441509111,0.037125554554594,67.882365343080323,0.124201441509111,0.033676669523524,89.239284902749716
15,19,178,0,"[78320259, 302369112, 78320261, 330927398, 312601094, 51431623, 302369113, 302369114, 4759830, 302368823, 302368824, 302368825, 302368826, 302368827, 302368828, 302368829]",565.969948494083269,0.130038620575893,0.040890985327198,124.343676342796925,0.130038620575893,0.040890985327198,124.343676342796925,0.130038620575893,0.040890985327198,124.343676342796925,0.130038620575893,0.040890985327198,124.343676342796925,0.130038620575893,0.040890985327198,124.343676342796925,0.130038620575893,0.040009210905404,128.248258567699480
16,19,100,0,"[427120055, 427120056, 30967447, 301776553, 4227182, 19851095, 19851094, 29688694, 93672118, 427120054, 93672255]",1031.349111039184891,0.263296655809601,0.123189568953669,117.452063523469661,0.339898757135590,0.159510469401311,138.830571617961198,0.452185861265381,0.215829259066748,167.846383131074106,0.539467028772552,0.264812834851020,186.690761905572344,0.064605474472046,0.017113449511463,30.828643875304394,0.563712648546417,0.273178060668098,195.667213168859291
17,19,2,0,"[76736421, 82518149, 41882142, 35359129, 29971577, 80242780, 41882141, 80242782]",614.385044744763263,0.091320914020911,0.044792109376261,57.851290668062504,0.091320914020911,0.044792109376261,57.851290668062504,0.091320914020911,0.044792109376261,57.851290668062504,0.091320914020911,0.044792109376261,57.851290668062504,0.091320914020911,0.044792109376261,57.851290668062504,0.091320914020911,0.044792109376261,57.851290668062504
18,180,19,0,"[116472224, 96202587, 116472198, 116472203, 116472526, 116472208, 96202590, 116472213, 116472219, 4229405, 116472222, 96202591]",544.863522869701228,0.226266220082289,0.072053633382084,195.406569488988680,0.226266220082289,0.072053633382084,195.406569488988680,0.226266220082289,0.072053633382084,195.406569488988680,0.226266220082289,0.072053633382084,195.406569488988680,0.190958008040435,0.060911356372705,179.672055537230563,0.226266220082289,0.072053633382084,195.406569488988680
19,180,178,0,15453861,53.070186427590187,0.025672077664127,0.022030191580235,1.447500019906916,0.025672077664127,0.022030191580235,1.447500019906916,0.025672077664127,0.022030191580235,1.447500019906916,0.025672077664127,0.022030191580235,1.447500019906916,0.001289281994104,0.001289281994104,1.447481693940732,0.025672077664127,0.022030191580235,1.447500019906916
20,180,2,0,"[97678599, 97678600, 97678601, 97678602, 26698153, 96560046, 96560047, 96560048, 96560049, 96560050, 96560051, 96560052, 96560054, 98882773, 98882774, 217557859, 217557860, 28545635, 309731071]",966.451502690061147,0.046452885742744,0.017400623671557,73.882232720433834,0.046452885742744,0.017400623671557,73.882232720433834,0.046452885742744,0.016072741213933,81.796494412810446,0.046452885742744,0.016072741213933,81.796494412810446,0.039925813674927,0.008724683156371,65.908821998197141,0.046452885742744,0.016072741213933,81.796494412810446
21,3,4,0,4492805,58.728780176552561,,,,,,,,,,,,,,,,,,
22,3,11,0,"[24430106, 24429771, 4492807]",551.763323047910717,,,,,,,,,,,,,,,,,,
23,4,844,0,30093927,127.581086285594395,,,,,,,,,,,,,,,,,,
24,844,2127,0,"[221904129, 4492810, 221904130]",221.783654267196113,,,,,,,,,,,,,,,,,,
25,5,9,0,"[176080291, 23818727]",309.144516909849187,,,,,,,,,,,,,,,,,,
26,5,1026,0,23819554,271.231665311275492,,,,,,,,,,,,,,,,,,
27,9,1028,0,"[168112842, 176080267]",398.516048406887649,,,,,,,,,,,,,,,,,,
28,9,1026,0,143855359,257.093813272399075,,,,,,,,,,,,,,,,,,
29,9,1027,0,"[143855360, 28814905, 28814904]",286.172456855691166,,,,,,,,,,,,,,,,,,
30,1026,3,0,"[24429799, 329441156, 24429798, 24430103]",407.550414431750369,,,,,,,,,,,,,,,,,,
31,6,7,0,35263263,172.900361768257994,,,,,,,,,,,,,,,,,,
32,7,2500,0,"[381711912, 313634730]",297.978572293850277,,,,,,,,,,,,,,,,,,
33,7,2179,0,"[23819554, 360038604]",315.011807960457304,,,,,,,,,,,,,,,,,,
34,2500,2419,0,381711906,45.383709325315394,,,,,,,,,,,,,,,,,,
35,2179,5,0,23819554,332.239707302369197,,,,,,,,,,,,,,,,,,
36,8,1755,0,"[360689616, 24675478]",702.073320223389373,,,,,,,,,,,,,,,,,,
37,1755,13,0,"[132809464, 99000823, 128767015]",620.298882814398212,,,,,,,,,,,,,,,,,,
38,1028,1330,0,"[174462827, 197198454, 197198455]",598.279099183640142,,,,,,,,,,,,,,,,,,
39,1028,1927,0,"[176080257, 526256168, 30093931, 176080241, 176080243, 34261685, 176080245, 176080247, 176080249, 176080252, 176080254]",954.182073707022369,,,,,,,,,,,,,,,,,,
40,1028,9,0,"[384857032, 176080260, 176080266, 174462828]",390.986016983412640,,,,,,,,,,,,,,,,,,
41,1027,9,0,"[5052772, 384857037, 26422108]",303.769006707640983,,,,,,,,,,,,,,,,,,
42,1027,1708,0,351680583,278.121470450742208,,,,,,,,,,,,,,,,,,
43,1027,1945,0,"[53818785, 145460327]",150.800423915482014,,,,,,,,,,,,,,,,,,
44,10,4,0,"[24429794, 35062556]",207.493476895783687,,,,,,,,,,,,,,,,,,
45,10,94,0,"[30093928, 377022643, 24429804, 24429803]",568.718499503125031,,,,,,,,,,,,,,,,,,
46,94,1027,0,"[176080290, 5052775]",274.338596680940384,,,,,,,,,,,,,,,,,,
47,94,1708,0,24430101,261.660941627215550,,,,,,,,,,,,,,,,,,
48,12,715,0,"[4494683, 26421927]",413.729170168875498,,,,,,,,,,,,,,,,,,
49,715,1333,0,"[35069344, 58577200, 5053266, 17442613, 60613209]",503.125187740198044,,,,,,,,,,,,,,,,,,
50,715,667,0,"[24903020, 35069141]",892.451241996309363,,,,,,,,,,,,,,,,,,
51,13,2119,0,"[128767001, 324292644, 54355551]",422.754704969038016,,,,,,,,,,,,,,,,,,
52,13,93,0,"[54355555, 5097083, 145632443]",825.421785652330186,,,,,,,,,,,,,,,,,,
53,2119,2190,0,"[177597561, 177597563, 91250053]",294.681263102635569,,,,,,,,,,,,,,,,,,
54,2119,93,0,"[128767010, 84801228]",410.097814249839530,,,,,,,,,,,,,,,,,,
55,2119,2215,0,"[91250096, 177146012]",199.186589453567478,,,,,,,,,,,,,,,,,,
56,93,664,0,"[232950210, 46052579, 232950211, 364147979, 99001424, 54181778, 40348180, 177597566]",918.899060317020144,,,,,,,,,,,,,,,,,,
57,14,1698,0,"[256925832, 4753644, 40347740]",226.228047776508134,,,,,,,,,,,,,,,,,,
58,14,2101,0,"[52009378, 256925828, 256925830]",183.629054304687088,,,,,,,,,,,,,,,,,,
59,1698,2126,0,"[80765291, 60861420, 60861422, 17305139, 256928436]",301.601030351266274,,,,,,,,,,,,,,,,,,
60,2101,618,0,"[465307040, 60393568, 60393548, 327405488, 60393555]",410.181345322999960,,,,,,,,,,,,,,,,,,
61,2101,2102,0,202926230,520.109962771272421,,,,,,,,,,,,,,,,,,
62,15,1210,0,51572640,267.654872754527503,,,,,,,,,,,,,,,,,,
63,1210,1211,0,51572640,262.387886119388497,,,,,,,,,,,,,,,,,,
64,1210,1212,0,"[258500721, 4899297, 207577420, 129784519]",234.585328320378522,,,,,,,,,,,,,,,,,,
65,16,515,0,"[704221922, 383169347, 132855654, 368373023]",1282.398918766822135,,,,,,,,,,,,,,,,0.039600546938786,0.026543768676326,51.823102196023086
66,515,1107,0,132855652,144.621731920433575,,,,,,,,,,,,,,,,,,
67,515,1402,0,"[5231105, 58651916]",226.228714573321838,,,,0.019662825226305,0.018285029709514,5.653195011557102,0.109421264952661,0.075622705501885,22.715329333659120,0.186622273749352,0.124682081982558,30.389169102317830,,,,0.596564870900155,0.430221421551252,43.822121431314862
68,17,585,0,243683604,143.893747850842885,,,,,,,,,,,,,,,,,,
69,17,584,0,"[4328305, 30914194, 30914195, 417810038]",420.138455999802716,,,,,,,,,,,,,,,,,,
70,585,18,0,"[60921784, 5234200, 78714802, 17246384]",366.745575729309053,,,,,,,,,,,,,,,,,,
71,584,1493,0,"[43232012, 123427231]",209.742959923258383,,,,,,,,,,,,,,,,,,
72,584,212,0,"[93670632, 102332987]",257.187642146084784,0.791576445102692,0.762262356707292,3.998266080347320,0.954816997051239,0.925502908655839,3.998266080347320,1.021427154541016,0.992113066145616,3.998266080347320,1.021427154541016,0.667223635541031,5.996464540244739,0.385010182857513,0.355696094462114,3.998266080347320,1.021427154541016,0.120899234121542,113.618909534398810
73,584,585,0,"[4328304, 243683607, 60921783]",378.158262803588002,,,,,,,,,,,,,,,,,,
74,18,1977,0,"[417810022, 330026282, 463267574, 60921782, 76581310]",1460.223688500797380,0.711000919342041,0.172687232047249,285.786827021382521,0.831341052932342,0.209713078869070,315.552561638414488,1.001463080329497,0.230700665669485,430.984557121495357,1.127382064742644,0.276917620700960,484.727464026509608,0.261987924575806,0.081816006342574,142.430922406222493,1.740074301642974,0.587081959951793,591.553704896597083
75,1977,253,0,"[751941988, 330016485, 40339973, 25362151, 40339974, 97918194, 330016503]",430.122780213213616,0.091400146484375,0.043099148547111,5.615888201847288,0.091400146484375,0.043099148547111,5.615888201847288,0.091400146484375,0.043099148547111,5.615888201847288,0.091400146484375,0.043099148547111,5.615888201847288,0.091400146484375,0.043099148547111,5.615888201847288,0.342249259880126,0.158543485807839,85.168474074697613
76,1977,1762,0,"[330026281, 41880603, 102153877]",733.886222352634491,3.746421395236982,0.765262775294282,224.920971653576572,3.868226347858442,0.800965190926411,255.020451215072853,4.038348256046309,0.860852399443333,304.091859306120568,4.164267598087324,0.924322388506777,332.695757599323088,3.297408400470747,0.568482626809220,150.306080885703125,4.776959477359785,1.172537988433303,500.576254300300093
77,25,111,0,"[26349689, 609759377]",153.184046390415631,,,,,,,,,,,,,,,,,,
