id,region,nodes,osmids,count
1,1,1254,2044,12
2,1,1373,784,12
3,1,1374,785,12
4,1,1375,1325,12
5,1,1376,1060,12
6,1,1377,786,12
7,1,1378,1721,12
8,1,1379,2100,12
9,1,1380,2218,12
10,1,1574,916,12
11,1,1575,2045,12
12,1,1597,935,12
13,2,896,484,13
14,2,898,485,13
15,2,900,954,13
16,2,1581,920,13
17,2,1582,921,13
18,2,1583,1321,13
19,2,1612,950,13
20,2,1613,951,13
21,2,1614,952,13
22,2,1615,953,13
23,2,1616,955,13
24,2,1617,956,13
25,2,1670,1485,13
26,3,1677,1006,13
27,3,1679,1007,13
28,3,1680,1008,13
29,3,1681,1010,13
30,3,1682,1009,13
31,3,1683,1011,13
32,3,1684,1012,13
33,3,1685,1030,13
34,3,1686,1013,13
35,3,1687,1014,13
36,3,1689,1483,13
37,3,1702,1029,13
38,3,1703,1031,13
39,4,1609,947,12
40,4,1610,948,12
41,4,1611,949,12
42,4,1667,1001,12
43,4,1669,998,12
44,4,1671,999,12
45,4,1672,1000,12
46,4,1673,1002,12
47,4,1674,1003,12
48,4,1675,1924,12
49,4,1676,1004,12
50,4,1678,1005,12
51,5,644,793,12
52,5,645,342,12
53,5,647,735,12
54,5,648,1661,12
55,5,652,1654,12
56,5,653,346,12
57,5,654,782,12
58,5,655,883,12
59,5,1295,842,12
60,5,1296,733,12
61,5,1297,734,12
62,5,1371,1586,12
63,6,1307,992,12
64,6,1309,944,12
65,6,1434,825,12
66,6,1435,996,12
67,6,1436,946,12
68,6,1437,995,12
69,6,1584,943,12
70,6,1605,1834,12
71,6,1606,990,12
72,6,1665,991,12
73,6,1666,993,12
74,6,1668,997,12
75,7,47,341,12
76,7,643,1019,12
77,7,646,343,12
78,7,649,344,12
79,7,650,737,12
80,7,651,345,12
81,7,1298,1662,12
82,7,1299,736,12
83,7,1300,739,12
84,7,1301,738,12
85,7,1302,2226,12
86,7,1303,994,12
87,8,108,51,12
88,8,109,1282,12
89,8,110,1043,12
90,8,111,52,12
91,8,120,71,12
92,8,148,70,12
93,8,149,1016,12
94,8,1497,867,12
95,8,1688,1015,12
96,8,1690,1042,12
97,8,1691,1017,12
98,8,1692,1018,12
99,9,105,49,12
100,9,106,1040,12
101,9,142,67,12
102,9,143,727,12
103,9,145,1039,12
104,9,146,90,12
105,9,1268,709,12
106,9,1269,717,12
107,9,1270,718,12
108,9,1293,1037,12
109,9,1710,1038,12
110,9,2019,1630,12
111,10,15,6,15
112,10,16,7,15
113,10,97,2482,15
114,10,100,46,15
115,10,101,1786,15
116,10,1287,1025,15
117,10,1364,779,15
118,10,1365,2445,15
119,10,1490,1024,15
120,10,1699,2478,15
121,10,2004,2419,15
122,10,2244,2417,15
123,10,2298,1710,15
124,10,2299,2418,15
125,10,2540,2447,15
126,11,1294,1791,12
127,11,1480,855,12
128,11,1481,859,12
129,11,1482,856,12
130,11,1483,1796,12
131,11,1484,857,12
132,11,1485,858,12
133,11,1486,861,12
134,11,1487,2195,12
135,11,1489,860,12
136,11,1697,1356,12
137,11,2221,1613,12
138,12,27,13,13
139,12,28,2119,13
140,12,184,2215,13
141,12,185,2115,13
142,12,1549,899,13
143,12,1550,900,13
144,12,1551,1751,13
145,12,1552,901,13
146,12,1553,902,13
147,12,2029,1358,13
148,12,2031,2207,13
149,12,2325,2232,13
150,12,2464,2190,13
151,13,8,3,15
152,13,9,4,15
153,13,10,11,15
154,13,11,844,15
155,13,12,5,15
156,13,13,9,15
157,13,14,1026,15
158,13,21,1028,15
159,13,22,1027,15
160,13,23,10,15
161,13,24,94,15
162,13,187,1708,15
163,13,1467,2127,15
164,13,1700,1945,15
165,13,1701,1927,15
166,14,17,2500,16
167,14,18,2179,16
168,14,1359,777,16
169,14,1360,2442,16
170,14,1698,1655,16
171,14,2296,2178,16
172,14,2297,1709,16
173,14,2409,2376,16
174,14,2475,2443,16
175,14,2522,2367,16
176,14,2523,2441,16
177,14,2524,2375,16
178,14,2526,2485,16
179,14,2527,2539,16
180,14,2528,2377,16
181,14,2541,2420,16
182,15,1200,665,16
183,15,1201,2146,16
184,15,1202,1337,16
185,15,1206,678,16
186,15,1207,674,16
187,15,1208,668,16
188,15,1214,670,16
189,15,1215,676,16
190,15,1216,2072,16
191,15,1220,673,16
192,15,1223,675,16
193,15,1224,677,16
194,15,1225,1622,16
195,15,1226,693,16
196,15,1227,679,16
197,15,2348,1800,16
198,16,1507,1553,12
199,16,1962,2077,12
200,16,1963,1859,12
201,16,1970,1301,12
202,16,1972,1303,12
203,16,1974,1304,12
204,16,1975,1305,12
205,16,1976,1306,12
206,16,1977,1857,12
207,16,1978,1307,12
208,16,1979,1308,12
209,16,2380,1858,12
210,17,1513,2245,15
211,17,1631,1246,15
212,17,1858,1200,15
213,17,1859,1985,15
214,17,1862,1984,15
215,17,1908,1276,15
216,17,1909,1275,15
217,17,1910,1247,15
218,17,1935,1273,15
219,17,1936,1274,15
220,17,1937,1970,15
221,17,1938,1278,15
222,17,1939,2156,15
223,17,1940,2407,15
224,17,1941,1277,15
225,18,1911,1990,12
226,18,1943,1283,12
227,18,1944,1284,12
228,18,1945,1290,12
229,18,1946,1285,12
230,18,1947,1286,12
231,18,1948,1293,12
232,18,1950,1292,12
233,18,1954,1295,12
234,18,1955,1291,12
235,18,1956,1294,12
236,18,1958,1971,12
237,19,1874,1318,13
238,19,1957,1296,13
239,19,1959,1974,13
240,19,1961,1300,13
241,19,1965,1919,13
242,19,1966,1299,13
243,19,1967,1316,13
244,19,1968,1975,13
245,19,1969,1317,13
246,19,1993,1315,13
247,19,1994,1920,13
248,19,1995,2059,13
249,19,1996,2058,13
250,20,1203,666,12
251,20,1205,667,12
252,20,1209,669,12
253,20,1210,1552,12
254,20,1211,1333,12
255,20,1212,869,12
256,20,1213,1319,12
257,20,1217,671,12
258,20,1218,672,12
259,20,1219,1330,12
260,20,2005,1803,12
261,20,2007,1802,12
262,21,1222,685,12
263,21,1228,691,12
264,21,1235,683,12
265,21,1239,686,12
266,21,1240,690,12
267,21,1241,687,12
268,21,1243,692,12
269,21,1244,2300,12
270,21,1372,2246,12
271,21,1506,2008,12
272,21,2201,1580,12
273,21,2203,1585,12
274,22,1229,680,15
275,22,1230,681,15
276,22,1231,689,15
277,22,1232,682,15
278,22,1233,768,15
279,22,1234,684,15
280,22,1236,688,15
281,22,1237,783,15
282,22,1238,766,15
283,22,1242,770,15
284,22,1345,764,15
285,22,1346,765,15
286,22,1347,769,15
287,22,1348,767,15
288,22,1349,1979,15
289,23,1980,2385,13
290,23,2190,2061,13
291,23,2196,1577,13
292,23,2197,1948,13
293,23,2198,1578,13
294,23,2199,1579,13
295,23,2200,1582,13
296,23,2202,2384,13
297,23,2204,1581,13
298,23,2205,1583,13
299,23,2206,1584,13
300,23,2250,1697,13
301,23,2410,2060,13
302,24,1515,878,12
303,24,1516,2286,12
304,24,1517,1312,12
305,24,1518,1928,12
306,24,1519,879,12
307,24,1520,882,12
308,24,1989,1313,12
309,24,1990,1621,12
310,24,1991,1314,12
311,24,1992,1797,12
312,24,2177,1535,12
313,24,2339,1787,12
314,25,535,282,12
315,25,1026,572,12
316,25,1029,877,12
317,25,1031,835,12
318,25,1508,874,12
319,25,1510,1251,12
320,25,1514,2013,12
321,25,1916,1812,12
322,25,1917,1780,12
323,25,1998,1320,12
324,25,2000,2227,12
325,25,2498,2316,12
326,26,536,569,16
327,26,537,568,16
328,26,941,566,16
329,26,1025,567,16
330,26,1027,875,16
331,26,1028,570,16
332,26,1030,571,16
333,26,1384,1597,16
334,26,1509,876,16
335,26,1511,1788,16
336,26,1512,2012,16
337,26,1903,1600,16
338,26,1904,1242,16
339,26,1905,1594,16
340,26,1999,1595,16
341,26,2212,1596,16
342,27,1521,880,16
343,27,1522,1309,16
344,27,1523,881,16
345,27,1524,1696,16
346,27,1981,1644,16
347,27,1982,1310,16
348,27,1983,1695,16
349,27,1984,1645,16
350,27,1985,2306,16
351,27,1986,1311,16
352,27,1987,1548,16
353,27,1988,1549,16
354,27,2178,2185,16
355,27,2189,1593,16
356,27,2210,1592,16
357,27,2211,2096,16
358,28,1501,870,12
359,28,1502,2062,12
360,28,1503,1801,12
361,28,1504,871,12
362,28,1505,872,12
363,28,1871,1215,12
364,28,1872,1936,12
365,28,1873,1216,12
366,28,1960,1297,12
367,28,1971,1302,12
368,28,1973,1569,12
369,28,2191,1560,12
370,29,25,12,14
371,29,26,715,14
372,29,1204,720,14
373,29,1221,719,14
