,Trips possible,Total travel time,Mean Travel time,Available paths,Unavailable paths,Trips impossible,Trips total,Nodes,Isolated nodes,Edges,Mean travel time (id. set)
"(589, 2251)",1397742.1831247841,614640364.883002,439.73800912906245,6500077,192492,39756.816884099855,1437499,2587,0,5508,435.7089566104589
"(1463, 130)",1397630.05342125,615690119.2298958,440.5243846343686,6500077,192492,39868.9465876684,1437499,2587,0,5508,435.7050874213295
"(218, 206)",1397630.053421218,615183377.5402054,440.16181251563376,6500077,192492,39868.946587668266,1437499,2587,0,5508,435.7029369617673
"(130, 1794)",1398892.0119103873,609707561.0005834,435.85034141980725,6505175,187394,38606.98809850461,1437499,2587,0,5508,435.6942077329471
"(2251, 218)",1398892.0119103873,610338765.9878502,436.3015592278243,6505175,187394,38606.98809850461,1437499,2587,0,5508,435.6942077329471
"(214, 1409)",1397728.2069074232,613940367.9660512,439.2415957065355,6497532,195037,39770.79310146914,1437499,2587,0,5508,435.6932304356363
"(127, 128)",1398153.2060399556,613847683.6869357,439.0417881496411,6500077,192492,39345.79396894225,1437499,2587,0,5508,435.69449639433174
"(540, 17)",1397794.8129136127,612885591.6920754,438.46606528361275,6500077,192492,39704.1870952858,1437499,2587,0,5508,435.6550765083573
"(1413, 126)",1397090.8087168566,611223426.4159087,437.4972783460514,6497527,195042,40408.191291992,1437499,2587,0,5508,435.638493230294
"(324, 1686)",1398892.0119103873,612066064.8363042,437.53632133508313,6505175,187394,38606.98809850461,1437499,2587,0,5508,435.6942077329471
"(1409, 540)",1398892.0119103873,610419542.8789908,436.3593027065581,6505175,187394,38606.98809850461,1437499,2587,0,5508,435.6942077329471
"(2030, 220)",1397701.1181132598,612155343.6154923,437.97299414186176,6500077,192492,39797.88189563268,1437499,2587,0,5508,435.60018725326887
"(1777, 314)",1398892.0119103873,609612244.6452085,435.78220438380777,6505175,187394,38606.98809850461,1437499,2587,0,5508,435.6942077329471
"(1543, 1777)",1398892.0119103873,609534304.4288657,435.72648870620066,6505175,187394,38606.98809850461,1437499,2587,0,5508,435.6942077329471
"(1039, 1038)",1398583.5627972,609882606.5176225,436.0716247071022,6502628,189941,38915.43721170822,1437499,2587,0,5508,435.69905104303336
"(1687, 35)",1398164.0628456688,611102272.1321857,437.0747957063176,6500082,192487,39334.93716327879,1437499,2587,0,5508,435.62965213467896
"(49, 1040)",1398892.0119103873,610064364.6300938,436.10540301603663,6505175,187394,38606.98809850461,1437499,2587,0,5508,435.6942077329471
"(1638, 1342)",1398892.0119103873,609530199.7481438,435.7235544691853,6505175,187394,38606.98809850461,1437499,2587,0,5508,435.6942077329471
"(381, 331)",1398892.0119103873,610140755.524318,436.16001115846205,6505175,187394,38606.98809850461,1437499,2587,0,5508,435.6942077329471
"(331, 1688)",1398892.0119103873,610132415.837666,436.1540495212657,6505175,187394,38606.98809850461,1437499,2587,0,5508,435.6942077329471
"(150, 153)",1395474.6322098025,615759825.444869,441.25476109141675,6474659,217910,42024.36779883732,1437499,2587,0,5508,435.43402784690653
"(956, 957)",1398892.0119103873,609808322.3519605,435.92237081915994,6505175,187394,38606.98809850461,1437499,2587,0,5508,435.6942077329471
"(957, 1256)",1398892.011910387,609744575.2978345,435.876801144315,6505175,187394,38606.98809850461,1437499,2587,0,5508,435.6942077329471
"(919, 920)",1398892.0119103873,609521917.5150224,435.7176339027292,6505175,187394,38606.98809850461,1437499,2587,0,5508,435.6942077329471
"(918, 919)",1398892.0119103873,609535479.7046461,435.7273288538106,6505175,187394,38606.98809850461,1437499,2587,0,5508,435.6942077329471
"(941, 918)",1398892.0119103873,609544429.7612532,435.7337268148619,6505175,187394,38606.98809850461,1437499,2587,0,5508,435.6942077329471
"(2392, 1717)",1398892.0119103873,609732346.5857396,435.8680594315946,6505175,187394,38606.98809850461,1437499,2587,0,5508,435.6942077329471
