u,v,key,name,highway,ZMax44mm,ZMax54mm,ZMax71mm,ZMax86mm,ZMax20mm,ZMax198mm,flooded
0,140,0,Kuusisaarentie,secondary,0.0,0.0,0.0,0.0,0.0,0.0,
0,1,0,Kuusisaarentie,secondary,0.0,0.0,0.0,0.0,0.0,0.0,
140,143,0,Keilaranta,tertiary,,,,,,,20
140,2470,0,Kuusisaarentie,secondary,0.0,0.06365323066711401,0.236215114593506,,0.0,,86
140,134,0,Otaniementie,tertiary,0.0,0.0,0.0,0.0,0.0,0.0,
140,0,0,Kuusisaarentie,secondary,0.0,0.0,0.0,0.0,0.0,0.0,
1,142,0,Kuusisaarentie,secondary,0.013840198516846001,0.013840198516846001,0.013840198516846001,0.013840198516846001,0.013840198516846001,0.013840198516846001,
1,0,0,Kuusisaarentie,secondary,0.0,0.0,0.0,0.0,0.0,0.0,
142,1,0,Kuusisaarentie,secondary,0.014519929885864,0.014519929885864,0.014519929885864,0.014519929885864,0.014519929885864,0.014519929885864,
142,2,0,"['Kuusisaarentie', 'Pikkuniementie']",secondary,0.18103292887221803,0.18103292887221803,0.18103292887221803,0.18103292887221803,0.076060056686401,0.18103292887221803,
2,19,0,Ramsaynranta,secondary,0.09132091402091098,0.09132091402091098,0.09132091402091098,0.09132091402091098,0.09132091402091098,0.09132091402091098,
2,180,0,"['Saunalahdentie', 'Laajalahdentie']",tertiary,0.046452885742744005,0.046452885742744005,0.046452885742744005,0.046452885742744005,0.039925813674927,0.046452885742744005,
2,142,0,"['Kuusisaarentie', 'Pikkuniementie']",secondary,0.18103292887221803,0.18103292887221803,0.18103292887221803,0.18103292887221803,0.076060056686401,0.18103292887221803,
19,25,0,Huopalahdentie,primary,0.12420144150911099,0.12420144150911099,0.12420144150911099,0.12420144150911099,0.12420144150911099,0.12420144150911099,
19,178,0,Munkkiniemen puistotie,tertiary,0.130038620575893,0.130038620575893,0.130038620575893,0.130038620575893,0.130038620575893,0.130038620575893,
19,100,0,Paciuksenkatu,primary,0.26329665580960104,,,,0.064605474472046,,54
