,Trips possible,Total travel time,Mean Travel time,Available paths,Unavailable paths,Trips impossible,Trips total,Nodes,Isolated nodes,Edges,Mean travel time (id. set)
"(0, 0)",1911281.2509162747,939415372.5317025,491.51079783854084,6505175,187394,137566.74909386475,2048848,2587,0,5509,491.51079783854084
"(0.2, 44)",1316750.1420716022,1220994049.3678446,927.2784641184032,4210583,2481986,732097.8579321092,2048848,2587,71,4843,470.04708131877106
"(0.2, 54)",1298656.0102955508,1253684105.7138886,965.3704258671029,4088593,2603976,750191.9897082055,2048848,2587,75,4817,469.18129156078635
"(0.2, 71)",1251482.7663743908,1217921951.3941407,973.1831585044695,3883977,2808592,797365.2336287859,2048848,2587,83,4779,460.9104481729664
"(0.2, 86)",1230728.369280925,1196060269.1161487,971.8312334142165,3793093,2899476,818119.6307223921,2048848,2587,93,4750,461.0133866395745
"(0.2, 20)",1646967.8239575,1201088339.734187,729.2724983831748,5366023,1326546,401880.17604880343,2048848,2587,46,4989,487.7181387237277
"(0.2, 198)",1092804.713711519,1033454587.2114521,945.6900892214359,2825794,3866775,956043.2862917666,2048848,2587,129,4652,447.6602630040047
"(0.45, 44)",1748357.692370168,1094021812.022055,625.7425564553326,5649484,1043085,300490.3076371185,2048848,2587,33,5139,488.8362375449647
"(0.45, 54)",1732399.557721573,1116397327.955638,644.4225426978911,5568963,1123606,316448.44228554156,2048848,2587,35,5122,488.839950345991
"(0.45, 71)",1692237.515803666,1187755594.144024,701.8846840657252,5360761,1331808,356610.48420299706,2048848,2587,40,5072,488.8344714199235
"(0.45, 86)",1675084.9990507802,1217060193.7228873,726.5662306166901,5266693,1425876,373763.0009555638,2048848,2587,45,5053,488.79415691564327
"(0.45, 20)",1856248.8169146653,1046411678.1889895,563.723822288149,6237779,454790,192599.18309541655,2048848,2587,18,5271,491.0902704627534
"(0.45, 198)",1616534.8291754043,1253884374.2094767,775.6618364041585,4981798,1710771,432313.17083040345,2048848,2587,74,4949,489.1046844417231
