,Trips possible,Total travel time,Mean Travel time,Available paths,Unavailable paths,Trips impossible,Trips total,Nodes,Isolated nodes,Edges,Mean travel time (id. set)
"(0, 0)",1398892.0119092022,609489146.8327283,435.6942077329471,6505175,187394,38606.98809850461,1437499,2587,0,5509,435.6942077329471
"(0.2, 44)",896016.1244603802,767740023.3602713,856.8372849569395,4210583,2481986,541482.8755406309,1437499,2587,71,4843,406.26053388835044
"(0.2, 54)",879962.4946392265,794781805.331659,903.199636545316,4088593,2603976,557536.5053617606,1437499,2587,75,4817,404.9801484774855
"(0.2, 71)",851256.0690302126,787374490.0579987,924.9560957080863,3883977,2808592,586242.930970768,1437499,2587,83,4779,402.0000754768935
"(0.2, 86)",833646.9039615295,769936825.295197,923.5766625371256,3793093,2899476,603852.0960393276,1437499,2587,93,4750,401.8337866388848
"(0.2, 20)",1167929.1624350625,806254022.4297998,690.3278455251588,5366023,1326546,269569.8375701464,1437499,2587,46,4989,429.2275730297959
"(0.2, 198)",720891.3763261811,631176129.8973967,875.5495635334233,2825794,3866775,716607.6236749324,1437499,2587,129,4652,384.31860475534717
"(0.45, 44)",1254994.8654888764,718863112.836581,572.8016365680921,5649484,1043085,182504.13451708935,1437499,2587,33,5139,430.62263685222825
"(0.45, 54)",1241178.8042150836,728825419.8431892,587.2042105199303,5568963,1123606,196320.19579068123,1437499,2587,35,5122,430.3536373181506
"(0.45, 71)",1207114.4293945248,775918471.8675673,642.7878359939409,5360761,1331808,230384.57061129948,1437499,2587,40,5072,429.70834794191285
"(0.45, 86)",1192813.8438894732,787406938.8206756,660.1255869508815,5266693,1425876,244685.15611614613,1437499,2587,45,5053,429.434564448093
"(0.45, 20)",1351261.3784754216,689498081.7044415,510.2625537054695,6237779,454790,86237.6215325775,1437499,2587,18,5271,434.6385235005484
"(0.45, 198)",1141872.7713005084,808436381.5596743,707.9916448475474,4981798,1710771,295626.22870366584,1437499,2587,74,4949,428.86503116764385
