u,v,key,weighted_centrality
0,140,0,10165.856057581577
0,1,0,9217.980866255604
140,143,0,
140,2470,0,12014.316756457943
140,134,0,3722.645840932738
140,0,0,9614.466289768878
1,142,0,8994.196918472608
1,0,0,9861.144441256562
143,140,0,
143,2057,0,477.1083647561605
143,2467,0,3628.969059747057
2470,2467,0,9299.438078481911
2470,2469,0,2623.1048707876403
134,133,0,1031.8148282724565
134,140,0,3808.66274210957
134,114,0,2132.5616907304898
142,1,0,9729.13430066191
142,2,0,8767.885480551575
2,19,0,8698.750310854239
2,180,0,1314.8388278388343
2,142,0,9594.596669928962
19,25,0,17451.34214594282
19,178,0,3669.4891810569684
19,100,0,23751.34391099648
19,2,0,9236.342860135956
180,19,0,3249.1653584510723
180,178,0,2088.8879857187776
180,2,0,1519.1240188382978
25,111,0,31321.130885044666
25,19,0,23366.2197794515
178,177,0,4776.366970914274
178,180,0,5457.505086072882
100,2303,0,8372.404655651317
100,19,0,18709.54920027847
100,168,0,18623.765976956314
3,4,0,17248.574825664247
3,11,0,2698.4386260145207
4,844,0,17434.727047445525
844,2127,0,17369.279269227278
2127,10,0,17303.831491008903
5,9,0,4428.445477045493
5,1026,0,15506.693452559453
9,1028,0,7410.890326946004
9,1026,0,4571.21555555559
9,1027,0,8602.493297825682
1026,3,0,20012.46122989789
1028,1330,0,9506.665864186532
1028,1927,0,1663.5783268692198
1028,9,0,10688.43262586137
1027,9,0,5533.168855639482
1027,1708,0,9230.01354013681
1027,1945,0,3336.140216245209
6,7,0,20479.000876255228
7,2500,0,3370.4542465938653
7,2179,0,17151.289109274647
2500,2419,0,3373.774095219506
2179,5,0,20000.58670782389
2419,1328,0,1230.2854960125255
2419,2420,0,2924.358258755077
2419,2179,0,2845.9777499236952
8,1755,0,36644.81976028664
1755,13,0,40603.944195228505
13,2119,0,7677.928157975191
13,93,0,32943.392453742425
1330,1803,0,8811.143605936328
1330,671,0,4107.248941915892
1330,1028,0,12946.35913082678
1927,1945,0,1024.182377100024
1927,1028,0,1566.8751373626324
1708,2178,0,22099.69447426771
1945,2376,0,839.151046885109
1945,1027,0,5576.069870191535
1945,1927,0,992.9269658119639
10,4,0,251.6
10,94,0,16986.78371279062
94,1027,0,3986.2072222222173
94,1708,0,12935.128712350031
12,715,0,47334.20269547296
715,1333,0,15344.194009528514
715,667,0,32015.645183732417
1333,669,0,5139.989811812364
1333,1802,0,15675.12163985542
667,678,0,7517.05070750217
667,674,0,24555.362239249913
2119,2190,0,4714.582124766479
2119,93,0,3883.8013573529056
2119,2215,0,8099.444692489672
93,664,0,36834.68231172625
2190,2232,0,4385.283344248428
2190,2119,0,5045.850237590732
2215,2115,0,8007.07252799693
2215,2119,0,3956.6733625489983
2215,1359,0,3440.530134184321
664,639,0,2764.0092540139285
664,91,0,34078.16155834601
14,1698,0,18614.685945139685
14,2101,0,18796.3669384804
1698,2126,0,20965.764780786183
2101,618,0,10737.86788924851
2101,2102,0,8075.720925995252
2126,617,0,26280.966179641757
618,968,0,41674.80498773058
2102,15,0,11187.34270965091
15,1210,0,36700.94507911997
1210,1211,0,34159.80107746762
1210,1212,0,2559.331025885138
1211,1575,0,37819.07233289572
1212,1211,0,3641.084231204535
1212,1872,0,3252.1548690249797
1212,614,0,2474.02530326051
16,515,0,39561.50628759132
515,1107,0,32934.86636804982
515,1402,0,6615.364288376897
1107,2213,0,35831.75707925239
1402,1401,0,10624.051980515638
1402,1400,0,6866.029844749702
17,585,0,47488.48421965294
17,584,0,17225.563662154633
585,18,0,50051.502614584206
584,1493,0,28338.951091856918
584,212,0,24589.47355613898
584,585,0,2506.6667753974043
18,1977,0,57720.015715734226
1493,209,0,26348.736138277083
1493,215,0,26264.072804420197
1493,2151,0,1478.27064003117
212,125,0,11557.260310442156
212,248,0,15693.488855300937
212,584,0,19444.913199411552
1977,253,0,8712.787128253254
1977,1762,0,49082.5574895587
253,252,0,5492.969564785119
253,1911,0,1893.3414207034489
253,1934,0,12054.95036696906
1762,1851,0,55364.38773257981
111,120,0,29665.26362592725
111,25,0,8632.032539687041
111,110,0,21288.28693871569
177,178,0,4390.661441114908
177,2223,0,4996.512936748195
2303,2206,0,7007.122529313633
2303,100,0,7648.537287951326
168,1861,0,19454.258884197
168,292,0,2634.1813357394335
168,100,0,14349.438450430112
20,1249,0,13092.929728336107
20,341,0,59000.13369207699
1249,1250,0,6983.998621782542
1249,1480,0,14555.624952188147
1249,1431,0,122.50113480199495
341,1019,0,7945.387047474339
341,793,0,51165.609215436445
1250,1249,0,6397.074551833754
1250,2226,0,6622.568657874
1480,1537,0,12821.025734468229
1480,1249,0,2088.5739948984997
1480,1479,0,4820.647890191539
1431,1943,0,2232.691472377643
1431,1887,0,3205.1748052646462
1431,1249,0,55.85975355054297
1431,2235,0,1575.7929079555279
1019,1661,0,548.5819809479744
1019,342,0,7507.667637370622
793,1635,0,61983.99330438769
21,20,0,72065.37674027725
22,794,0,
22,1437,0,41375.213802852
794,1735,0,43355.77891777073
1437,1436,0,37548.02572021856
1437,1728,0,3878.546531175921
1735,841,0,33395.49201923978
1735,1448,0,10015.079985632454
1436,794,0,43300.985830669946
1728,1628,0,2841.4364488256133
1728,1726,0,3939.820034001929
1728,1727,0,1425.0492008537228
1728,1436,0,5701.601661906567
1728,1793,0,302.169078513759
