u,v,key,weighted_centrality
0,140,0,6673.773653695794
0,1,0,6542.202686172861
140,143,0,
140,2470,0,7696.269676159856
140,134,0,3364.095529743173
140,0,0,6844.304865855877
1,142,0,6387.084011258004
1,0,0,6453.183738256769
143,140,0,
143,2057,0,354.0427130467608
143,2467,0,2505.9590334485874
2470,2467,0,5475.239671971136
2470,2469,0,2139.51773994484
134,133,0,1016.1674193088645
134,140,0,3350.387779050986
134,114,0,1910.7247648358405
142,1,0,6379.577327585932
142,2,0,6229.509715041387
2,19,0,6369.278472369549
2,180,0,1038.7492150706505
2,142,0,6303.515295613445
19,25,0,11681.142385470603
19,178,0,3371.17770800622
19,100,0,16835.439290647635
19,2,0,6272.399456777959
180,19,0,3227.331397174256
180,178,0,1646.2350707765827
180,2,0,1145.839089481945
25,111,0,18985.514256901846
25,19,0,14440.419744339066
178,177,0,4169.624144692821
178,180,0,4916.861620609771
100,2303,0,6806.187763892516
100,19,0,14059.334505266546
100,168,0,13085.345226437285
3,4,0,14065.42752841911
3,11,0,2225.2916156719016
4,844,0,14275.060637777002
844,2127,0,14243.333747134993
2127,10,0,14211.606856493147
5,9,0,3448.9284416033133
5,1026,0,12750.251020612634
9,1028,0,5492.087321611648
9,1026,0,3603.921904761948
9,1027,0,6853.868852363998
1026,3,0,16322.446034732897
1028,1330,0,7362.39863382898
1028,1927,0,1417.600150111334
1028,9,0,8246.508298134791
1027,9,0,4286.168229641396
1027,1708,0,6951.813295652587
1027,1945,0,2916.8564328471753
6,7,0,16832.81113177754
7,2500,0,2720.915123109641
7,2179,0,14142.343759773948
2500,2419,0,2727.9829190391856
2179,5,0,16230.906352857668
2419,1328,0,950.2778351148355
2419,2420,0,2338.5256540834903
2419,2179,0,2081.494797154434
8,1755,0,17309.64093188804
1755,13,0,19700.072807689357
13,2119,0,5632.991385437293
13,93,0,14076.617219887641
1330,1803,0,7558.759963628445
1330,671,0,2117.1343984070436
1330,1028,0,10226.356883094988
1927,1945,0,813.5482903534377
1927,1028,0,1339.7897680097662
1708,2178,0,17526.326424665025
1945,2376,0,679.5787369483046
1945,1027,0,4032.1429408635267
1945,1927,0,767.464798893917
10,4,0,241.35999999999999
10,94,0,13938.519965851347
94,1027,0,3300.553055555524
94,1708,0,10606.24001965368
12,715,0,25742.336716123555
715,1333,0,13193.686493571835
715,667,0,12572.021424621222
1333,669,0,4074.352023865517
1333,1802,0,13620.19169705597
667,678,0,6454.918149902309
667,674,0,6166.9121183678835
2119,2190,0,3050.8853082368987
2119,93,0,2545.398548569885
2119,2215,0,5958.629234699871
93,664,0,16627.518581513585
2190,2232,0,2781.92265202058
2190,2119,0,3228.750035337178
2215,2115,0,5931.4658382292855
2215,2119,0,2683.635873102801
2215,1359,0,2628.276282004884
664,639,0,2034.8014881097615
664,91,0,14598.219906461767
14,1698,0,6515.459169562901
14,2101,0,9142.73198083145
1698,2126,0,8180.657842958719
2101,618,0,2456.9363360777934
2101,2102,0,6693.233038104958
2126,617,0,9004.860358050204
618,968,0,8797.463840254139
2102,15,0,8962.976469546038
15,1210,0,13953.773514422102
1210,1211,0,12470.268738428396
1210,1212,0,1496.448129454288
1211,1575,0,16014.354295647649
1212,1211,0,3531.142203760089
1212,1872,0,2711.6396773275883
1212,614,0,1570.537225443028
16,515,0,18663.203357609913
515,1107,0,13769.392162907108
515,1402,0,4885.93091163244
1107,2213,0,16421.49361953804
1402,1401,0,9184.279494551189
1402,1400,0,5231.966588373338
17,585,0,26456.156982035576
17,584,0,11314.518471689833
585,18,0,28497.978210585734
584,1493,0,20465.12692640221
584,212,0,17934.572625499746
584,585,0,2001.055336787946
18,1977,0,34065.91333458867
1493,209,0,18730.613888235017
1493,215,0,18732.185345727772
1493,2151,0,1282.2450673760663
212,125,0,7256.622371307745
212,248,0,13132.732142004568
212,584,0,15799.68851998269
1977,253,0,7489.250147621992
1977,1762,0,26637.481494722688
253,252,0,4736.201214707769
253,1911,0,1632.777267405775
253,1934,0,10288.01549081973
1762,1851,0,31618.92066991161
111,120,0,16398.941761550977
111,25,0,6668.131320878266
111,110,0,13474.546403286728
177,178,0,4005.2782647674494
177,2223,0,4219.973749744636
2303,2206,0,5696.699461622858
2303,100,0,6245.654633614568
168,1861,0,14123.69812690326
168,292,0,2220.044669790971
168,100,0,10913.634373309837
20,1249,0,12053.033866326878
20,341,0,47857.964415912975
1249,1250,0,6422.92538638342
1249,1480,0,13406.882954411174
1249,1431,0,118.61579120384837
341,1019,0,7546.549890006578
341,793,0,40404.35319953702
1250,1249,0,5927.517851100119
1250,2226,0,6082.11683592183
1480,1537,0,11800.04540470527
1480,1249,0,1890.7454141085066
1480,1479,0,4455.704203944745
1431,1943,0,2117.5160417544266
1431,1887,0,3029.340902051626
1431,1249,0,55.696372341109104
1431,2235,0,1447.3111722189437
1019,1661,0,500.0553991147759
1019,342,0,7139.433164534447
